source	stratum	stratum_label	model_id	model_label	group_type	removed_group_id	removed_n	removed_fraction	effective_groups	full_n	reduced_n	full_spearman	reduced_spearman	spearman_shift	full_delta_mae	reduced_delta_mae	delta_mae_shift	full_coverage_90	reduced_coverage_90
ChEMBL37	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1069	0.0420270482780311	188.978250519482	25436	24367	0.206229166135601	0.184964309017783	-0.0212648571178181	-0.0215183419073378	-0.000188867863632254	0.0213294740437056		
ChEMBL37	overall	Overall	hgb_fusion_interaction	HGB interaction fusion	ligand_scaffold	f4430543575b6ff0b394f7a2d5dc5f3046cb663942cbd0a000119c56d9001100	1805	0.0709624154741312	114.827021359217	25436	23631	0.206229166135601	0.215211829204017	0.00898266306841636	-0.0215183419073378	-0.0245839838108593	-0.00306564190352145		
ChEMBL37	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	document_component	CHEMBL37_DOC_COMPONENT_1	5645	0.221929548671175	14.9640520960512	25436	19791	0.205985660203321	0.260444926102296	0.0544592658989746	0.0407248250611532	-0.0331231621486628	-0.0738479872098161	0.659694920584998	0.654085190237987
ChEMBL37	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1069	0.0420270482780311	188.978250519482	25436	24367	0.205985660203321	0.197520552754224	-0.00846510744909707	0.0407248250611532	0.0625919591996789	0.0218671341385257	0.659694920584998	0.656092255919892
ChEMBL37	overall	Overall	phase15_esm2_aft_frozen	Frozen ESM2-AFT	ligand_scaffold	f4430543575b6ff0b394f7a2d5dc5f3046cb663942cbd0a000119c56d9001100	1805	0.0709624154741312	114.827021359217	25436	23631	0.205985660203321	0.214880671182443	0.00889501097912215	0.0407248250611532	0.0391935192079156	-0.00153130585323761	0.659694920584998	0.658372476831281
ChEMBL37	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	document_component	CHEMBL37_DOC_COMPONENT_1	1552	0.21035510978585	16.3241640726679	7378	5826	0.196007377202472	0.211811200851284	0.0158038236488115	-0.0207416068679294	-0.0549141023022307	-0.0341724954343013		
ChEMBL37	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1059	0.143534833288154	24.9872545680388	7378	6319	0.196007377202472	0.193080007898259	-0.00292736930421278	-0.0207416068679294	-0.0063415815925245	0.0144000252754049		
ChEMBL37	drug_cold	Ligand cold	hgb_molecule	HGB ligand only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	186	0.0252100840336134	288.366181066912	7378	7192	0.196007377202472	0.185636399708516	-0.0103709774939558	-0.0207416068679294	-0.0156602163001693	0.0050813905677601		
ChEMBL37	drug_cold	Ligand cold	hgb_protein	HGB protein only	document_component	CHEMBL37_DOC_COMPONENT_1	1552	0.21035510978585	16.3241640726679	7378	5826	0.24262691112936	0.328602557921786	0.0859756467924263	0.0255784025451273	-0.0650118616674545	-0.0905902642125819		
ChEMBL37	drug_cold	Ligand cold	hgb_protein	HGB protein only	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1059	0.143534833288154	24.9872545680388	7378	6319	0.24262691112936	0.209737822155475	-0.0328890889738848	0.0255784025451273	0.111686511268644	0.0861081087235172		
ChEMBL37	drug_cold	Ligand cold	hgb_protein	HGB protein only	ligand_scaffold	3ab1f373b0e5098e54865308927bfd8a91b15d45e80d1261122bf42d8596efae	186	0.0252100840336134	288.366181066912	7378	7192	0.24262691112936	0.24192277694739	-0.00070413418196999	0.0255784025451273	0.0313723411172413	0.00579393857211398		
ChEMBL37	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	document_component	CHEMBL37_DOC_COMPONENT_1	1552	0.21035510978585	16.3241640726679	7378	5826	0.308712294957791	0.362960506484235	0.0542482115264444	-0.119432251744099	-0.182293480217146	-0.0628612284730462		
ChEMBL37	drug_cold	Ligand cold	hgb_fusion_additive	HGB additive fusion	protein_identity_cluster	MMSEQS2_ID40_COV80_CC_9a0b636052d7bfbc	1059	0.143534833288154	24.9872545680388	7378	6319	0.308712294957791	0.26218050358398	-0.046531791373811	-0.119432251744099	-0.0483842197886546	0.0710480319554447		
