between_to_within_signal_ratio	local_prediction_signal	replicate	global_spearman	pooled_within_target_centered_spearman	macro_target_spearman	attenuation
0.25	0.05	110	0.030186854296426594	-0.020938014540287875	-0.005874125874125871	0.051124868836714465
0.25	0.05	111	0.04845241559195527	0.007531817730428979	0.0090909090909091	0.04092059786152629
0.25	0.05	112	0.05538544123988974	0.026372254425176683	0.02104895104895104	0.029013186814713057
0.25	0.05	113	0.03999836110997299	-0.033430280159916774	-0.03888111888111889	0.07342864126988977
0.25	0.05	114	0.011132709119936888	-0.029490985757629	-0.036853146853146855	0.04062369487756588
0.25	0.05	115	0.005536962178445957	-0.05341250236979331	-0.051188811188811204	0.058949464548239267
0.25	0.05	116	0.06282504362850251	-0.02562571918452721	-0.019580419580419582	0.08845076281302972
0.25	0.05	117	0.0650580104569517	-0.004722017168067478	0.003986013986013984	0.06978002762501917
0.25	0.05	118	0.03265515462163515	-0.026224830711687994	-0.012867132867132869	0.05887998533332314
0.25	0.05	119	0.028852381147486908	-0.0013567162199418193	-0.00965034965034965	0.030209097367428727
0.25	0.05	120	0.00528878839499194	-0.03303701599792778	-0.05552447552447555	0.038325804392919716
0.25	0.05	121	0.09493833676273386	0.010812201952918023	0.013216783216783221	0.08412613480981584
0.25	0.05	122	0.12002673612967787	0.052712626883768675	0.054615384615384614	0.06731410924590919
0.25	0.05	123	0.05763529002450696	-0.011281841167945256	-0.008111888111888111	0.06891713119245221
0.25	0.05	124	0.1157589901104098	0.05414653065731295	0.019300699300699307	0.061612459453096846
0.25	0.05	125	0.12643123363280115	0.07339634263634905	0.05713286713286713	0.0530348909964521
0.25	0.05	126	0.08101701459514901	0.03699633819190152	0.0420979020979021	0.04402067640324749
0.25	0.05	127	0.07901306181462626	0.029491659369207897	0.013286713286713292	0.04952140244541837
0.25	0.05	128	0.06764680392139161	0.009093804926253422	0.02055944055944056	0.05855299899513819
0.25	0.05	129	0.06318046748643574	0.0093864023516683	0.005314685314685323	0.05379406513476744
0.25	0.05	130	0.06339241207806394	0.003438488498950346	-0.00860139860139861	0.0599539235791136
0.25	0.05	131	0.12641932390230826	0.03414361398862083	0.03419580419580419	0.09227570991368743
0.25	0.05	132	0.06897407567644145	0.0016892303397432913	-0.002027972027972036	0.06728484533669817
0.25	0.05	133	0.12030953493717704	0.06538116345914129	0.05118881118881119	0.054928371478035753
0.25	0.05	134	0.07720593555967747	0.010349798854026981	0.01055944055944057	0.06685613670565049
0.25	0.05	135	0.08543935794399857	0.0381919501332987	0.03	0.04724740781069987
0.25	0.05	136	0.07231656410872507	0.01780710264382128	0.026713286713286717	0.05450946146490379
0.25	0.05	137	0.0787526588560131	0.013489252423091961	0.025384615384615398	0.06526340643292114
0.25	0.05	138	0.09613906676324081	0.035795462357959974	0.010000000000000004	0.06034360440528084
0.25	0.05	139	0.09300848125588976	0.017860436014191673	0.014475524475524476	0.07514804524169809
0.25	0.05	140	0.06937426345434962	0.02176616094872288	0.02412587412587413	0.047608102505626734
0.25	0.05	141	0.05668771992202773	-0.00807583894155482	-0.002167832167832168	0.06476355886358255
0.25	0.05	142	0.08522089945895796	0.018293929370784286	0.027482517482517482	0.06692697008817367
0.25	0.05	143	0.07365655115038275	0.025380441236417525	0.025944055944055956	0.04827610991396522
0.25	0.05	144	0.061074861857542954	0.005545489962145807	0.0027972027972027963	0.055529371895397146
0.25	0.05	145	0.06307200907778407	0.000738889402006529	-0.011398601398601405	0.06233311967577754
0.25	0.05	146	0.06868148519547583	0.005939198568887895	0.005174825174825173	0.06274228662658793
0.25	0.05	147	0.14266846018643067	0.07597012914592302	0.06587412587412589	0.06669833104050765
0.25	0.05	148	0.09918336054400038	0.015087135477177414	0.00958041958041959	0.08409622506682297
0.25	0.05	149	0.06014456954483996	-0.018089561173306373	-0.028321678321678322	0.07823413071814633
0.25	0.05	150	0.024737260234208497	-0.01742633849051284	-0.02272727272727274	0.042163598724721335
0.25	0.05	151	0.058039047249338366	-0.004150093159786917	0.0016783216783216738	0.06218914040912528
0.25	0.05	152	0.08137308428686409	0.015054843788085963	0.0165034965034965	0.06631824049877813
0.25	0.05	153	0.07727946338851624	0.025745247045310452	0.011678321678321673	0.05153421634320579
0.25	0.05	154	0.07695619927513837	0.010080534778149151	0.006503496503496502	0.06687566449698923
0.25	0.05	155	0.05801144306350213	0.004468510047576422	-0.007832167832167825	0.053542933015925706
0.25	0.05	156	0.0824335919677722	0.032367709977576375	0.02524475524475525	0.05006588199019582
0.25	0.05	157	0.033485773254009206	-0.03793002634029607	-0.03713286713286713	0.07141579959430527
0.25	0.05	158	0.117575491371869	0.025806969310395354	0.020769230769230772	0.09176852206147365
0.25	0.05	159	0.03078267415463483	-0.02008745839406833	-0.007272727272727271	0.05087013254870316
