stratum	control	replicate	spearman	mae
all_exact_kd	joint_permutation	16	0.0890696900315455	1.587325473291321
all_exact_kd	joint_permutation	17	0.10700965287260414	1.5675625685794998
all_exact_kd	joint_permutation	18	0.14351200206880593	1.568418149541258
all_exact_kd	joint_permutation	19	0.10727300324505308	1.5881921022824246
all_exact_kd	joint_permutation	20	0.11005435441939004	1.579052010218837
all_exact_kd	joint_permutation	21	0.07124694148042776	1.6042368016220572
all_exact_kd	joint_permutation	22	0.11015110457365183	1.5788504778325834
all_exact_kd	joint_permutation	23	0.08246657106906496	1.5911196039932678
all_exact_kd	joint_permutation	24	0.04685434158467029	1.6172539445536969
all_exact_kd	joint_permutation	25	0.11587848506124379	1.5816920424555683
all_exact_kd	joint_permutation	26	0.07431585888996631	1.5987828462990916
all_exact_kd	joint_permutation	27	0.04946447707796214	1.618908661097973
all_exact_kd	joint_permutation	28	0.09977608852704246	1.5998406829865985
all_exact_kd	joint_permutation	29	0.07092517448166781	1.6104544040443456
all_exact_kd	joint_permutation	30	0.1082691819659224	1.5795685773311265
all_exact_kd	joint_permutation	31	0.11369323753354742	1.571100322531788
all_exact_kd	joint_permutation	32	0.07711001582928459	1.5927583328119455
all_exact_kd	joint_permutation	33	0.0869849046271707	1.6112715865233698
all_exact_kd	joint_permutation	34	0.09306991117715961	1.596978392289438
all_exact_kd	joint_permutation	35	0.07585241904588944	1.598596250385946
all_exact_kd	joint_permutation	36	0.06296300511040892	1.6040256944538005
all_exact_kd	joint_permutation	37	0.07422594505792292	1.5895755258273545
all_exact_kd	joint_permutation	38	0.07529085297225627	1.605095378917468
all_exact_kd	joint_permutation	39	0.06902200443205095	1.6119261393629374
all_exact_kd	joint_permutation	40	0.08501983648574543	1.607312650111984
all_exact_kd	joint_permutation	41	0.0936966093810605	1.587398409250299
all_exact_kd	joint_permutation	42	0.07876726623382989	1.6072758416743211
all_exact_kd	joint_permutation	43	0.07229920241130013	1.6040237501453845
all_exact_kd	joint_permutation	44	0.08823630270103745	1.586541917881422
all_exact_kd	joint_permutation	45	0.08195619631615281	1.6103121356751473
all_exact_kd	joint_permutation	46	0.04730136660212512	1.6206459598789806
all_exact_kd	joint_permutation	47	0.08855566384112927	1.5933674497472403
all_exact_kd	joint_permutation	48	0.11482072085586377	1.5771704377412932
all_exact_kd	joint_permutation	49	0.09511392062602175	1.588731941243244
all_exact_kd	joint_permutation	50	0.06697524789775114	1.6404594337324856
all_exact_kd	joint_permutation	51	0.05995598808054052	1.6180670603293525
all_exact_kd	joint_permutation	52	0.11335669578604866	1.581703598264841
all_exact_kd	joint_permutation	53	0.10806240058655384	1.572131091011131
all_exact_kd	joint_permutation	54	0.07472361169477051	1.6007835649635638
all_exact_kd	joint_permutation	55	0.10803337775758536	1.5705135715699292
all_exact_kd	joint_permutation	56	0.0986256941294606	1.5978397860054971
all_exact_kd	joint_permutation	57	0.0913385944566142	1.6038299458021839
all_exact_kd	joint_permutation	58	0.10828458376843302	1.5721510508264975
all_exact_kd	joint_permutation	59	0.11718733480765153	1.586478372126511
all_exact_kd	joint_permutation	60	0.0988483037642007	1.597049445811313
all_exact_kd	joint_permutation	61	0.11956471912686793	1.5867941884764836
all_exact_kd	joint_permutation	62	0.0908188217234396	1.594078634779089
