sensitivity	category	model_id	endpoint	nonabstained_pairs	exact_proteins	eligible_within_target_groups	estimate	bootstrap_se	ordinary_95_ci_low	ordinary_95_ci_high	valid_bootstrap_replicates
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_centered_spearman	2359	340	125	0.2251751901667425	0.04187618203988707	0.1213155522247085	0.2859091666301963	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	within_target_pairwise_concordance	2359	340	125	0.5485727356478295	0.014347413574065831	0.5226428570936399	0.5803436051609192	2000
leave_one_origin_out__database_entry_residual_patent	mandatory_leave_one_origin_out	smiles_protein_cross_attention_v1_8	target_rank_attenuation	2359	340	125	0.03370344168216885	0.06694202691241265	-0.08206544103484857	0.18552651210351553	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	global_top5_morgan_similarity_v1_8	source_wide_spearman	750	235	40	0.04719468314844273	0.08435043224667282	-0.11825236832830116	0.21067706375840453	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_centered_spearman	750	235	40	-0.04708184707107078	0.06909540859087457	-0.1735410203741091	0.10757367554940844	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	global_top5_morgan_similarity_v1_8	within_target_pairwise_concordance	750	235	40	0.47703170576053894	0.03304385463795115	0.40926839631215045	0.5410274644480335	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	global_top5_morgan_similarity_v1_8	target_rank_attenuation	750	235	40	0.09427653021951352	0.10422467079989423	-0.12770668382871322	0.2857985715055919	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	source_wide_spearman	750	235	40	0.23239582633917077	0.07148361937869077	0.08664825340499659	0.3691040680969787	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_centered_spearman	750	235	40	0.18184009561677175	0.062466173976651725	0.05014597237061348	0.2954367660357238	2000
source_origin__database_entry_chembl_import	mandatory_source_origin	hgb_fusion_additive_pre2018_v1_8	within_target_pairwise_concordance	750	235	40	0.5723183903413507	0.029977686762810388	0.5140280541520449	0.6328670856683214	2000
