source	stratum	model_id	model_label	n	mae	baseline_mae	mae_delta_vs_development_median	mae_relative_improvement_vs_development_median	rmse	spearman	r2	calibration_intercept	calibration_slope	prediction_mean	prediction_sd	prediction_min	prediction_max	outcome_mean	outcome_sd	outcome_min	outcome_max	prediction_sd_to_outcome_sd_ratio	interval_90_coverage	interval_mean_half_width_pkd
ChEMBL37	protein_identity_cold	hgb_molecule	HGB ligand only	1802	1.1511232864025127	1.0637314809278398	0.08739180547467296	-0.08215588900165427	1.4709885912145801	0.2221730375572003	-0.14165197003375996	4.108793951248347	0.3353976385140238	6.111563552705462	0.8995898919664803	3.6615647641528484	9.101551697635855	6.158597934454136	1.3770920659051877	2.356547323513812	10.847711655616944	0.6532532676928637		
ChEMBL37	protein_identity_cold	hgb_protein	HGB protein only	1802	1.156457240487232	1.0637314809278398	0.09272575955939222	-0.08717026920977489	1.4613571955714437	0.10575642134720908	-0.1267508289492818	3.9811929060035243	0.33333335850160056	6.532214592138273	0.5496394170507737	4.916700340661691	8.351700317610854	6.158597934454136	1.3770920659051877	2.356547323513812	10.847711655616944	0.39913047984158245		
ChEMBL37	protein_identity_cold	hgb_fusion_additive	HGB additive fusion	1802	1.1358964816336077	1.0637314809278398	0.07216500070576792	-0.06784136974382116	1.415307840103169	0.2113385292157509	-0.056858747828282485	3.212362482635526	0.4584129787500141	6.427033239443429	0.655409858914913	3.9916597476543947	8.111101330515739	6.158597934454136	1.3770920659051877	2.356547323513812	10.847711655616944	0.4759375753748898		
ChEMBL37	protein_identity_cold	hgb_fusion_interaction	HGB interaction fusion	1802	1.146572043367362	1.0637314809278398	0.08284056243952231	-0.07787732517539547	1.4126975220961409	0.213500491244773	-0.05296391546963419	2.925730240692286	0.49931200297584305	6.4746444597652895	0.6021886048171643	4.43566126588317	8.06824758904949	6.158597934454136	1.3770920659051877	2.356547323513812	10.847711655616944	0.43729001112306515		
ChEMBL37	protein_identity_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	1802	1.2446322765665478	1.0637314809278398	0.1809007956387081	-0.170062463020195	1.5315370907049526	0.2238976489136272	-0.2375711014355808	3.707834723157974	0.3676502917112969	6.666017317404045	0.85368758559896	4.345873012501793	9.366651362144514	6.158597934454136	1.3770920659051877	2.356547323513812	10.847711655616944	0.6199204880596095	0.6392896781354052	1.4558712537653808
ChEMBL37	strict_scaffold_protein_identity_double_cold	development_median	Development median	15760	1.155236409718544	1.155236409718544	0.0	0.0	1.4241026796192624		-0.043898264163791945	6.466610030117546		6.174574367411811	2.6646197978715664e-15	6.174574367411814	6.174574367411814	6.466610030117546	1.3938819514941432	2.0	10.958607314841776	1.9116538491765975e-15		
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_molecule	HGB ligand only	15760	1.1696191040863662	1.155236409718544	0.014382694367822246	-0.012450000923470261	1.445897868101311	0.13228392947262532	-0.07609546947096724	4.30928032068283	0.3397568183929081	6.349628889389607	0.6470059815578297	3.6042719416341873	8.970022914119362	6.466610030117546	1.3938819514941432	2.0	10.958607314841776	0.4641755931083582		
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_protein	HGB protein only	15760	1.2086684069204172	1.155236409718544	0.053431997201873305	-0.04625200240606264	1.4838379731788105	0.03392347264232588	-0.13330950240677208	5.800789378099985	0.10180617427698738	6.540081254856331	0.564313676160455	4.372278169434096	8.382775781532086	6.466610030117546	1.3938819514941432	2.0	10.958607314841776	0.40485040756539714		
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_additive	HGB additive fusion	15760	1.1660432233547557	1.155236409718544	0.010806813636211832	-0.009354633861345052	1.4164286090349356	0.1626321126269473	-0.03267805546365343	3.7195398319505273	0.4183993517368966	6.565665522097821	0.5735028447539476	4.103638272696507	9.058617403143172	6.466610030117546	1.3938819514941432	2.0	10.958607314841776	0.4114429088770344		
ChEMBL37	strict_scaffold_protein_identity_double_cold	hgb_fusion_interaction	HGB interaction fusion	15760	1.1613182471920223	1.155236409718544	0.0060818374734783465	-0.005264582575751797	1.4125113797591309	0.15643321805019061	-0.026974071517708698	3.7020959730003895	0.4216723888758557	6.556070850375386	0.5324028665941637	4.191214242821843	8.768763455882173	6.466610030117546	1.3938819514941432	2.0	10.958607314841776	0.3819569268570164		
ChEMBL37	strict_scaffold_protein_identity_double_cold	phase15_esm2_aft_frozen	Frozen ESM2-AFT	15760	1.2004264776582023	1.155236409718544	0.04519006793965841	-0.03911759321251673	1.466550002437813	0.17668832711871243	-0.10705530681104825	4.182183952934952	0.3435287373433642	6.649883485291256	0.7465345590051249	3.373672751425587	8.959822371556386	6.466610030117546	1.3938819514941432	2.0	10.958607314841776	0.5355794715649288	0.6607233502538071	1.4558712537653808
